Country,City,University,min_salary,max_salary,cost_of_living_min,cost_of_living_max,Latitude,Longitude,life_satisfaction,ratio_min,ratio_max,ratio_avg,adjusted_ratio_min,adjusted_ratio_max,adjusted_ratio_avg,Fuzzy_Matched_University,University_QS,QS_Rank,Location,Normalized_QS_Rank,Normalized_Adjusted_Ratio,Composite_Index,Inverted_QS_Rank
Switzerland,Lausanne,"EPFL, University of Lausanne",80000,100000,2500,3500,46.5197,6.6323,7.7,22.857142857142858,40.0,31.42857142857143,176.0,308.0,242.0,EPFL,EPFL,26.0,Switzerland,0.9581151832460733,0.6155802861685215,0.7868477347072973,549.0
Netherlands,Delft,Delft University of Technology,45000,60000,1300,1800,52.0116,4.3571,7.2,25.0,46.15384615384615,35.57692307692308,180.0,332.3076923076923,256.1538461538462,Delft University of Technology,Delft University of Technology,49.0,Netherlands,0.9179755671902269,0.65158371040724,0.7847796387987334,526.0
Austria,Vienna,"University of Vienna, Vienna University of Technology",50000,65000,1200,1800,48.2082,16.3738,7.5,27.77777777777778,54.166666666666664,40.97222222222222,208.33333333333334,406.25,307.2916666666667,University of Vienna,University of Vienna,137.0,Austria,0.7643979057591623,0.7816640169581347,0.7730309613586486,438.0
Belgium,Leuven,KU Leuven,38000,50000,1100,1700,50.8798,4.7005,7.1,22.352941176470587,45.45454545454545,33.903743315508024,158.7058823529412,322.72727272727275,240.71657754010698,KU Leuven,KU Leuven,63.0,Belgium,0.893542757417103,0.6123156185439923,0.7529291879805476,512.0
Germany,Göttingen,University of Göttingen,50000,65000,900,1500,51.5413,9.9158,6.9,33.333333333333336,72.22222222222223,52.777777777777786,230.0,498.3333333333333,364.16666666666663,University of Göttingen,University of Göttingen,252.0,Germany,0.5636998254799301,0.926338102808691,0.7450189641443106,323.0
Netherlands,Amsterdam,"University of Amsterdam, Vrije Universiteit Amsterdam",45000,60000,1500,2200,52.3676,4.9041,7.4,20.454545454545453,40.0,30.227272727272727,151.36363636363637,296.0,223.6818181818182,University of Amsterdam,University of Amsterdam,55.0,Netherlands,0.9075043630017452,0.5689839572192513,0.7382441601104983,520.0
Finland,Helsinki,"University of Helsinki, Aalto University",34800,60000,1200,2000,60.1695,24.9354,7.8,17.4,50.0,33.7,135.72,390.0,262.86,Aalto University,Aalto University,113.0,Finland,0.806282722513089,0.6686422893481717,0.7374625059306303,462.0
Switzerland,Basel,University of Basel,80000,100000,2200,3200,47.5596,7.5886,7.8,25.0,45.45454545454545,35.22727272727273,195.0,354.54545454545456,274.77272727272725,University of Basel,University of Basel,131.0,Switzerland,0.774869109947644,0.6989449342390518,0.7369070220933479,444.0
Netherlands,Groningen,University of Groningen,45000,60000,1100,1600,53.2194,6.5665,7.1,28.125,54.54545454545455,41.33522727272727,199.6875,387.27272727272725,293.4801136363636,University of Groningen,University of Groningen,159.0,Netherlands,0.7260034904013961,0.7465312906489376,0.7362673905251669,416.0
Netherlands,Utrecht,Utrecht University,45000,60000,1300,1800,52.0907,5.1214,7.2,25.0,46.15384615384615,35.57692307692308,180.0,332.3076923076923,256.1538461538462,Utrecht University,Utrecht University,105.0,Netherlands,0.8202443280977313,0.65158371040724,0.7359140192524856,470.0
